#1,,,,,,,,,,#2,,,,,,,,,
Account Code アカウント,,,Internal code,Internal Account Name,KEIEI houkoku,詳細,Description,Chỉ tiêu,,Account Code アカウント,,,Internal code,Internal Account Name,KEIEI houkoku,詳細,Description,Chỉ tiêu,Đơn giá
,,62772,COGS62772,"Electricity, water,...",水道光熱費,"電気代と水道代,...(生産)","Electricity, water,...","Tiền điện, nước,...(sản xuất)",,,6274,,COGS6274,Depreciation,減価償却費,固定資産の減価償却費,Depreciation,Chi phí khấu hao TSCĐ,"3,521,527"
,,62773,COGS62773,"Telephone, internet, fax, email",通信費,電話・インタネット・ファクス・メール,"Telephone, internet, fax, email","Điện thoại, internet, fax, email",,,6277,,,0,0,外部用役費,Services rendered,Chi phí dịch vụ mua ngoài,
,,62778,COGS62778,Other services rendered,支払手数料,その他外部用役費,Other services rendered,Chi phí dịch vụ mua ngoài khác,,,,62771,COGS62771,Rental fee,家賃地代,事務所レンタル料（生産）,Rental fee,Chi phí thuê văn phòng (sản xuất),"220,000,000"
,,,,,,,Software development,,,,,62772,COGS62772,"Electricity, water,...",水道光熱費,"電気代と水道代,...(生産)","Electricity, water,...","Tiền điện, nước,...(sản xuất)","20,000,000"
,,,,,,,System Support Serice,,,,,62773,COGS62773,"Telephone, internet, fax, email",通信費,電話・インタネット・ファクス・メール,"Telephone, internet, fax, email","Điện thoại, internet, fax, email","1,500,000"
,,,,,,,Other services expenses,,,,,62778,COGS62778,Other services rendered,支払手数料,その他外部用役費,Other services rendered,Chi phí dịch vụ mua ngoài khác,
,6278,,,0,0,その他現金出金,Sundry costs paid in cash,Chi phí bằng tiền khác,,,,62778,COGS62778,Other services rendered,支払手数料,,EDR service,,
,,62788,COGS62788,Other sundry costs paid in cash,雑費(振込手数料等),その他現金出金,Other sundry costs paid in cash,Chi phí bằng tiền khác,,,,62778,COGS62778,Other services rendered,支払手数料,,Illustrator,,
,,62789,COGS62789,Expenses without invoice,雑費(振込手数料等),製造の損金不算入費用,Expenses without invoice,Chi phí sản xuất không hợp lệ,,,,62778,COGS62778,Other services rendered,支払手数料,,Microsoft 365,,
154,,,,0,0,仕掛品,Cost for work in process,"Chi phí sản xuất, kinh doanh dở dang",,,,62778,COGS62778,Other services rendered,支払手数料,,Construction,,
,1541,,,0,0,仕掛品（サービス・建物）,Work in progress for services and constructions,"Chi phí sản xuất, kinh doanh dở dang (dịch vụ, công trình)",,,,62778,COGS62778,Other services rendered,支払手数料,,GGWA,,
632,,,,0,0,売上原価,Cost of goods sold,Giá vốn hàng bán,,,,62778,COGS62778,Other services rendered,支払手数料,,VMWare Software,,
,6323,,,0,0,サービス提供の売上原価,Cost of goods sold - service,Giá vốn hàng bán dịch vụ,,,,62778,COGS62778,Other services rendered,支払手数料,,JIRA/Confluence,,
,,63231,410100,cost of merchandise and finished goods,0,サービス提供の売上原価,COGS - service: Software development,Giá vốn hàng bán dịch vụ,,,,62778,COGS62778,Other services rendered,支払手数料,,MDM,,"49,800"
,,63232,410200,cost of maintenance,#N/A,サービス提供の売上原価,COGS - service: System Support Service,Giá vốn hàng bán dịch vụ,,,,62778,COGS62778,Other services rendered,支払手数料,,Cloud,,
,,63238,410200,cost of maintenance,#N/A,サービス提供の売上原価,COGS - service: Marketing,Giá vốn hàng bán dịch vụ,,,,62778,COGS62778,Other services rendered,支払手数料,,HRM system,,"8,400,000"
635,,,,0,0,財務費用,Financial activities expenses,Chi phí tài chính,,,,62778,COGS62778,Other services rendered,支払手数料,,Japan Quality,JQ fee,"80,000,000"
,6351,,460500,Foreign exchange losses,#N/A,発生取引の為替差損,Losses of Exchange Rate Differences Arising in Current Period,Chênh lệch lỗ tỷ giá phát sinh trong kỳ,,,,62778,COGS62778,Other services rendered,支払手数料,,Periodic health （健康診断）,"10月 1,600,000 VND/person (80%)","1,800,000"
,6352,,460100,Interest paid,#N/A,借入利息,Interest Expenses,Chi phí lãi vay,,,6278,,,0,0,その他現金出金,Sundry costs paid in cash,Chi phí bằng tiền khác,
,6353,,460500,Foreign exchange losses,#N/A,為替再評価差損,Losses from Exchange Rate Revaluation,Lỗ chênh lệch tỷ giá do đánh giá lại,,,,62788,COGS62788,Other sundry costs paid in cash,雑費(振込手数料等),その他現金出金,Other sundry costs paid in cash,Chi phí bằng tiền khác,
641,,,431000,Sales miscellaneous expense,雑費(振込手数料等),販売費,Selling expenses,Chi phí bán hàng,,,,,,,,,,,
,,,,,0,,Souvenir to Japan,,,,,,,,,,,,
642,,,,0,0,一般管理費,General & administration expenses,Chi phí quản lý doanh nghiệp,,632,,,,0,0,売上原価,Cost of goods sold,Giá vốn hàng bán,
,6421,,,0,0,管理部門給与,Office salaries,Chi phí nhân viên quản lý,,,6323,,,0,0,サービス提供の売上原価,Cost of goods sold - service,Giá vốn hàng bán dịch vụ,
,,64211,,0,0,従業員,Management Expenses - Employees,Chi phí nhân viên quản lý - Nhân viên,,,,63231,410100,cost of merchandise and finished goods,0,サービス提供の売上原価,COGS - service: Software development,Giá vốn hàng bán dịch vụ,
,,642111,430200,Salary&wages,給与,給与,Management Expenses - Employees - Salary,Chi phí nhân viên quản lý - Nhân viên - Lương,,,,63232,410200,cost of maintenance,#N/A,サービス提供の売上原価,COGS - service: System Support Service,Giá vốn hàng bán dịch vụ,
