CÔNG TY TNHH GLORY SOFTWARE VIETNAM,,,,,,,,,,,,,,,,,,,,,,,,,,
Income statement- 損益計算書（月次推移）,,,,,,,,,,,,,,,,,,,,,,,,,,
For the fiscal year end 31/03/2025,,,,,,,,,,,,,,,,,,,,,,,,,,
単位： Vietnamese Dong,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,4月,5月,6月,7月,8月,9月,,10月,11月,12月,1月,2月,3月,,,,
Account Code アカウント,,,Internal code,Internal Account Name,KEIEI houkoku,詳細,Description,Chỉ tiêu,Đơn giá,Apr-25,May-25,Jun-25,Jul-25,Aug-25,Sep-25,,Oct-25,Nov-25,Dec-25,Jan-26,Feb-26,Mar-26,FY2025,Net amount,COGS/SGA,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,62778,COGS62778,Other services rendered,支払手数料,,EDR service,,,"1,666,667","1,666,667","1,666,667","1,666,667","1,666,667","1,666,667",,"1,666,667","1,666,667","1,666,667","1,666,667","1,666,667","1,666,667","20,000,000","20,000,000",COGS,General
,,62778,COGS62778,Other services rendered,支払手数料,,Illustrator,,,"1,833,333","1,833,333","1,833,333","1,833,333","2,420,703","2,125,000",,"2,125,000","2,125,000","2,125,000","2,125,000","2,125,000","2,125,000","24,629,035","24,629,035",COGS,General
,,62778,COGS62778,Other services rendered,支払手数料,,Microsoft 365,,,"13,466,667","15,232,796","13,091,667","14,186,018","13,762,361","13,930,551",,"13,274,201","11,500,000","11,500,000","11,500,000","11,500,000","11,500,000","154,444,261","154,444,261",COGS,General
,,62778,COGS62778,Other services rendered,支払手数料,,Construction,,,"26,666,667","26,666,667","26,666,667","26,666,667","26,666,667","26,666,667",,"26,666,667","26,666,667","26,666,667","26,666,667","26,666,667","26,666,667","320,000,004","320,000,004",COGS,General
,,62778,COGS62778,Other services rendered,支払手数料,,GGWA,,,"7,836,667","7,836,667","7,836,667","7,836,667","7,836,667","7,836,667",,"7,836,667","7,836,667","7,836,667","7,836,667","7,836,667","7,468,522","93,671,859","93,671,859",COGS,General
,,62778,COGS62778,Other services rendered,支払手数料,,VMWare Software,,,"1,583,333","1,583,333","1,583,333","1,583,333","1,583,333","1,583,333",,"1,583,333","1,583,333","1,583,333","1,750,000","1,750,000","1,750,000","19,499,997","19,499,997",COGS,General
,,62778,COGS62778,Other services rendered,支払手数料,,JIRA/Confluence,,,,,,,,,,,,,,,,-,-,COGS,General
,,62778,COGS62778,Other services rendered,支払手数料,,MDM,,"49,800","3,486,000","3,486,000","3,486,000","3,486,000","3,486,000","3,486,000",,"3,486,000","3,486,000","3,486,000","3,486,000","3,486,000","3,486,000","41,832,000","41,832,000",COGS,General
,,62778,COGS62778,Other services rendered,支払手数料,,Cloud,,,,,,,,,,,,,,,,-,-,COGS,General
,,62778,COGS62778,Other services rendered,支払手数料,,HRM system,,"8,400,000","8,400,000","8,400,000","8,400,000","8,400,000","8,400,000","8,400,000",,"8,400,000","8,400,000","8,400,000","8,400,000","8,400,000","8,400,000","100,800,000","100,800,000",COGS,General
,,62778,COGS62778,Other services rendered,支払手数料,,Japan Quality,JQ fee,"80,000,000","80,000,000","80,000,000","80,000,000","80,000,000","80,000,000","80,000,000",,"80,000,000","80,000,000","80,000,000","80,000,000","80,000,000","80,000,000","960,000,000","960,000,000",COGS,UBIQULAR
,,62778,COGS62778,Other services rendered,支払手数料,,Periodic health （健康診断）,"10月 1,600,000 VND/person (80%)","1,800,000",,,,,,,,"124,200,000",,,,,,"124,200,000","124,200,000",COGS,
,6278,,,0,0,その他現金出金,Sundry costs paid in cash,Chi phí bằng tiền khác,,,,,,,,,,,,,,,-,-,,
,,62788,COGS62788,Other sundry costs paid in cash,雑費(振込手数料等),その他現金出金,Other sundry costs paid in cash,Chi phí bằng tiền khác,,,,,,,,,,,,,,,-,-,COGS,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
632,,,,0,0,売上原価,Cost of goods sold,Giá vốn hàng bán,,"2,538,246,655","2,540,023,581","2,537,790,636","2,537,623,361","2,537,551,941","2,536,903,590",,"2,535,726,411","2,533,430,603","2,533,350,358","2,537,683,692","2,537,576,215","2,534,505,924","30,440,412,966","30,440,412,966",,
,6323,,,0,0,サービス提供の売上原価,Cost of goods sold - service,Giá vốn hàng bán dịch vụ,,"2,538,246,655","2,540,023,581","2,537,790,636","2,537,623,361","2,537,551,941","2,536,903,590",,"2,535,726,411","2,533,430,603","2,533,350,358","2,537,683,692","2,537,576,215","2,534,505,924","30,440,412,966","30,440,412,966",SALE,
,,63231,410100,cost of merchandise and finished goods,0,サービス提供の売上原価,COGS - service: Software development,Giá vốn hàng bán dịch vụ,,"1,984,361,911","1,985,694,605","1,984,019,896","1,983,894,440","1,983,840,875","1,983,354,612",,"1,982,471,728","1,980,749,872","1,980,689,688","1,983,939,688","1,983,859,081","1,981,556,362","23,798,432,757","23,798,432,757",SALE,
,,63232,410200,cost of maintenance,#N/A,サービス提供の売上原価,COGS - service: System Support Service,Giá vốn hàng bán dịch vụ,,"375,684,744","376,128,976","375,570,740","375,528,921","375,511,066","375,348,978",,"375,054,683","374,480,731","374,460,670","375,544,004","375,517,134","374,749,562","4,503,580,210","4,503,580,210",SALE,
,,63233,410300,cost of market research,,,,,,"178,200,000","178,200,000","178,200,000","178,200,000","178,200,000","178,200,000",,"178,200,000","178,200,000","178,200,000","178,200,000","178,200,000","178,200,000","2,138,400,000","2,138,400,000",SALE,
635,,,,0,0,財務費用,Financial activities expenses,Chi phí tài chính,,-,-,-,-,-,-,,-,-,,,,,-,-,,
,6351,,460500,Foreign exchange losses,#N/A,発生取引の為替差損,Losses of Exchange Rate Differences Arising in Current Period,Chênh lệch lỗ tỷ giá phát sinh trong kỳ,,,,,,,,,,,,,,,-,-,Non-Ope-Exp,
,6352,,460100,Interest paid,#N/A,借入利息,Interest Expenses,Chi phí lãi vay,,,,,,,,,,,,,,,-,-,Non-Ope-Exp,
,6353,,460500,Foreign exchange losses,#N/A,為替再評価差損,Losses from Exchange Rate Revaluation,Lỗ chênh lệch tỷ giá do đánh giá lại,,,,,,,,,,,,,,,-,-,Non-Ope-Exp,
641,,,431000,Sales miscellaneous expense,雑費(振込手数料等),販売費,Selling expenses,Chi phí bán hàng,,-,-,-,-,-,-,,-,-,,,,,-,-,SGA,
,,,,,0,,Souvenir to Japan,,,,,,,,,,,,,,,,-,-,SGA,
642,,,,0,0,一般管理費,General & administration expenses,Chi phí quản lý doanh nghiệp,,"1,406,574,547","1,106,941,214","1,444,174,547","1,416,174,547","1,106,941,214","1,155,214,547",,"1,058,574,547","1,146,941,214","1,791,674,547","1,081,674,547","1,181,941,214","1,204,174,547","15,101,001,235","15,101,001,235",,
,6421,,,0,0,管理部門給与,Office salaries,Chi phí nhân viên quản lý,,"693,346,769","672,346,769","1,076,346,769","1,048,346,769","672,346,769","787,386,769",,"685,346,769","672,346,769","1,128,846,769","710,846,769","747,346,769","676,346,769","9,571,201,233","9,571,201,233",SGA,
,,64211,,0,0,従業員,Management Expenses - Employees,Chi phí nhân viên quản lý - Nhân viên,,"148,655,103","148,655,103","148,655,103","148,655,103","148,655,103","148,655,103",,"148,655,103","148,655,103","148,655,103","148,655,103","148,655,103","148,655,103","1,783,861,233","1,783,861,233",SGA,
,,642111,430200,Salary&wages,給与,給与,Management Expenses - Employees - Salary,Chi phí nhân viên quản lý - Nhân viên - Lương,,"102,081,523","102,081,523","102,081,523","102,081,523","102,081,523","102,081,523",,"102,081,523","102,081,523","102,081,523","102,081,523","102,081,523","102,081,523","1,224,978,273","1,224,978,273",SGA,
,,642112,430200,Salary&wages,給与,保険料,Management Expenses - Employees - Insurance,Chi phí nhân viên quản lý - Nhân viên - Bảo hiểm,,"20,646,020","20,646,020","20,646,020","20,646,020","20,646,020","20,646,020",,"20,646,020","20,646,020","20,646,020","20,646,020","20,646,020","20,646,020","247,752,240","247,752,240",SGA,
,,642113,430200,Salary&wages,給与,労働組合費,Management Expenses - Employees - Union fee,Chi phí nhân viên quản lý - Nhân viên - KPCĐ,,"1,920,560","1,920,560","1,920,560","1,920,560","1,920,560","1,920,560",,"1,920,560","1,920,560","1,920,560","1,920,560","1,920,560","1,920,560","23,046,720","23,046,720",SGA,
,,642114,430200,Salary&wages,給与,税金,Management Expenses - Employees - Tax,Chi phí nhân viên quản lý - Nhân viên - Thuế,,-,-,-,-,-,-,,-,-,-,-,-,-,-,-,SGA,
